Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;361;Serviço;985529-208/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;6000,0000;0,0000;25/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;362;Material;985529-210/2027;Aquisição de materiais e componentes elétricos;Catálogo do Compras.gov.br;Material;5975;FERRAGENS E SUPRIMENTOS DE ELETRICIDADE;;;;;-;0,0000;0,0000;15000,0000;0,0000;15/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;363;Serviço;985529-212/2027;Prestação de serviços de fonoaudiologia educacional ou institucional;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;5967;FONOAUDIOLOGIA - TERAPIA;-;1,0000;140000,0000;140000,0000;0,0000;18/03/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;364;Serviço;985529-213/2027;Serviço de acolhimento institucional para a pessoa idosa;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0,0000;0,0000;70000,0000;0,0000;30/12/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;365;Material;985529-214/2027;Aquisição de tintas e materiais para pintura;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;;;;;-;0,0000;0,0000;15000,0000;0,0000;05/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;366;Material;985529-206/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;;;;;-;0,0000;0,0000;20000,0000;0,0000;11/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;367;Material;985529-215/2027;Aquisição de materiais de construção;Catálogo do Compras.gov.br;Material;5680;MATERIAIS DIVERSOS PARA CONSTRUÇÃO;;;;;-;0,0000;0,0000;50000,0000;0,0000;30/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;368;Material;985529-216/2027;Aquisição de materiais esportivos;Catálogo do Compras.gov.br;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;;;;;-;0,0000;0,0000;40000,0000;0,0000;31/05/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;369;Serviço;985529-205/2027;Pagamento de taxas de contribuição associativa anual, anuidades e conselhos;Catálogo do Compras.gov.br;Serviço;959;SERVIÇOS FORNECIDOS POR OUTRAS ORGANIZAÇÕES DA SOCIEDADE(ASSOCIAÇÕES);;;;;-;0,0000;0,0000;1500,0000;0,0000;23/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;370;Serviço;985529-218/2027;Prestação de serviços de poda e corte de árvores;Catálogo do Compras.gov.br;Serviço;861;SERVIÇOS RELATIVOS À AGRICULTURA, CAÇA, REFLORESTAMENTO E PESCA;;;;;-;0,0000;0,0000;2000,0000;0,0000;15/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;376;Serviço;985529-221/2027;Prestação de serviços visando a realização de seguro para veículos e máquinas pertencentes a frota;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;30127;SEGURO AUTOMOTIVO;-;1,0000;100000,0000;100000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;371;Soluções de TIC;985529-219/2027;Locação de impressoras multifuncionais;Catálogo do Compras.gov.br;Serviço;152;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;;;;;-;0,0000;0,0000;80000,0000;0,0000;28/05/2027
